SKU,ASIN,Brand,Product Name,Category,Unit_COGS,FBA_Fee,Amazon_Referral_Fee_%,Current_Price,Buy_Box_Price,Lowest_Competitor_Price,Is_Buy_Box_Winner,Competitor_Count,Sales_Rank,Available_Inventory,Inbound_Inventory,Historical_Velocity_7D,Days_of_Supply,Storage_Type,Ad_Impressions_7D,Ad_Clicks_7D,Ad_Spend_7D,Ad_Orders_7D,Ad_Sales_7D,CPC,CTR,ACOS,ROAS
SKU-1000,B0100000,Aerovo,Aerovo Sleeping Bag,Outdoor,13.1,4.25,0.08,44.42,42.26,43.5,False,11,49969,1791,11,212,59.1,Standard,30556,494,632.32,62,2754.04,1.28,0.0162,0.2296,4.36
SKU-1001,B0100137,Aerovo,Aerovo Trekking Poles,Outdoor,4.44,5.83,0.12,16.29,16.21,16.29,False,7,303961,2594,277,136,133.5,Standard,45913,636,521.52,180,2932.2,0.82,0.0139,0.1779,5.62
SKU-1002,B0100274,Aerovo,Aerovo Folding Chair,Outdoor,22.03,11.97,0.08,63.6,63.6,58.94,True,8,92722,1366,199,138,69.3,Oversize,40364,464,691.36,68,4324.8,1.49,0.0115,0.1599,6.26
SKU-1003,B0100411,Aerovo,Aerovo Camping Tent,Outdoor,21.74,7.03,0.12,75.88,73.66,76.11,False,4,192201,5014,25,405,86.7,Oversize,37866,383,647.27,46,3490.48,1.69,0.0101,0.1854,5.39
SKU-1004,B0100548,Aerovo,Aerovo Cooler Bag,Outdoor,3.94,3.49,0.1,17.61,17.61,15.33,True,12,155861,1423,34,290,34.3,Standard,110696,516,753.36,118,2077.98,1.46,0.0047,0.3625,2.76
SKU-1005,B0100685,Aerovo,Aerovo Headlamp,Outdoor,5.64,5.04,0.12,19.29,18.17,18.42,False,8,28038,958,581,268,25.0,Standard,90087,1498,3280.62,502,9683.58,2.19,0.0166,0.3388,2.95
SKU-1006,B0100822,Aerovo,Aerovo Utensil Organizer,Kitchen,4.47,6.95,0.12,12.99,12.42,12.68,False,3,141566,4197,271,82,358.3,Standard,19238,146,175.2,45,584.55,1.2,0.0076,0.2997,3.34
SKU-1007,B0100959,Aerovo,Aerovo Spice Rack,Kitchen,30.01,6.1,0.12,88.62,89.46,88.63,True,4,138191,1590,28,486,22.9,Standard,35532,191,281.92,28,2504.88,1.23,0.0054,0.1125,10.66
SKU-1008,B0101096,Aerovo,Aerovo Cutting Board,Kitchen,30.89,3.32,0.1,84.07,81.52,81.79,False,6,21010,0,6892,833,0.0,Standard,82613,600,678.0,19,1597.33,1.13,0.0073,0.4245,2.36
SKU-1009,B0101233,Aerovo,Aerovo Knife Set,Kitchen,25.36,3.44,0.15,63.86,62.92,76.29,False,10,56387,2600,429,447,40.7,Standard,96537,1322,2030.59,288,18391.68,1.28,0.0137,0.1104,10.87
SKU-1010,B0101370,Nimbus Home,Nimbus Home Earbud Case,Electronics Accessories,30.32,7.17,0.1,78.41,77.84,79.17,False,0,70723,643,584,98,45.9,Standard,56450,565,847.5,27,2117.07,1.5,0.01,0.4003,2.5
SKU-1011,B0101507,Nimbus Home,Nimbus Home Power Bank,Electronics Accessories,6.12,7.36,0.08,18.91,18.71,18.92,False,12,198755,861,7,336,17.9,Standard,55348,276,452.64,63,1215.27,1.64,0.005,0.3725,2.68
SKU-1012,B0101644,Nimbus Home,Nimbus Home Monitor Light Bar,Electronics Accessories,9.71,5.79,0.15,32.77,31.82,32.78,False,10,61776,1539,41,252,42.8,Standard,64643,820,1353.0,256,8189.44,1.65,0.0127,0.1652,6.05
SKU-1013,B0101781,Nimbus Home,Nimbus Home Monitor Light Bar,Electronics Accessories,35.88,3.33,0.1,85.94,81.84,87.61,False,10,196167,1416,6,133,74.5,Standard,93126,887,1667.56,109,9183.25,1.88,0.0095,0.1816,5.51
SKU-1014,B0101918,Nimbus Home,Nimbus Home Wireless Charger Pad,Electronics Accessories,11.84,6.34,0.1,33.57,31.07,33.58,False,7,101233,1045,0,168,43.5,Standard,84712,854,645.62,142,4511.34,0.63,0.0101,0.1431,8.39
SKU-1015,B0102055,Nimbus Home,Nimbus Home Wireless Charger Pad,Electronics Accessories,16.29,6.34,0.15,59.65,57.16,62.29,False,10,73237,1575,208,308,35.8,Standard,56510,1028,1624.24,53,3099.44,1.58,0.0182,0.524,1.91
SKU-1016,B0102192,Nimbus Home,Nimbus Home Ab Roller Wheel,Fitness,7.1,3.46,0.15,27.34,27.34,29.43,True,9,49278,2660,66,144,129.3,Standard,134497,1428,1142.4,204,5577.36,0.8,0.0106,0.2048,4.88
SKU-1017,B0102329,Nimbus Home,Nimbus Home Resistance Bands Set,Fitness,9.21,5.12,0.1,38.08,37.09,38.39,False,6,85637,97,719,21,32.3,Standard,87858,711,966.96,66,2513.28,1.36,0.0081,0.3847,2.6
SKU-1018,B0102466,Nimbus Home,Nimbus Home Ab Roller Wheel,Fitness,20.5,7.37,0.1,91.18,90.47,92.17,False,11,33173,2598,28,404,45.0,Standard,84663,842,682.02,18,1641.24,0.81,0.0099,0.4156,2.41
SKU-1019,B0102603,Nimbus Home,Nimbus Home Yoga Mat,Fitness,18.84,6.09,0.1,48.28,47.74,49.65,False,7,175018,3267,4,319,71.7,Standard,29492,261,336.69,45,2172.6,1.29,0.0088,0.155,6.45
SKU-1020,B0102740,TrailForge,TrailForge Exercise Ball,Fitness,24.55,11.42,0.12,64.18,56.51,57.74,False,6,108737,2588,501,164,110.5,Oversize,31332,300,510.0,15,962.7,1.7,0.0096,0.5298,1.89
SKU-1021,B0102877,TrailForge,TrailForge Adjustable Dumbbells,Fitness,17.0,11.81,0.12,62.7,62.7,60.17,True,2,118944,1499,53,110,95.4,Oversize,50183,746,880.28,32,2006.4,1.18,0.0149,0.4387,2.28
SKU-1022,B0103014,TrailForge,TrailForge Exercise Ball,Fitness,13.07,11.75,0.08,50.53,49.44,57.17,False,11,89656,1389,94,155,62.7,Oversize,18132,168,265.44,12,606.36,1.58,0.0093,0.4378,2.28
SKU-1023,B0103151,TrailForge,TrailForge Massage Gun,Fitness,12.59,4.99,0.15,35.37,35.11,38.11,False,8,115842,5362,100,472,79.5,Standard,18676,155,60.45,7,247.59,0.39,0.0083,0.2442,4.1
SKU-1024,B0103288,TrailForge,TrailForge Jump Rope,Fitness,14.03,3.36,0.1,36.86,36.24,36.53,False,4,95645,1189,51,43,193.6,Standard,104637,1414,1937.18,495,18245.7,1.37,0.0135,0.1062,9.42
SKU-1025,B0103425,TrailForge,TrailForge Massage Gun,Fitness,8.94,4.58,0.15,40.42,39.34,41.32,False,8,117626,5116,77,291,123.1,Standard,18287,227,422.22,23,929.66,1.86,0.0124,0.4542,2.2
SKU-1026,B0103562,TrailForge,TrailForge Floating Shelf,Home Decor,3.53,5.54,0.08,12.39,12.39,12.73,True,2,106924,1915,27,224,59.8,Standard,68948,707,565.6,195,2416.05,0.8,0.0103,0.2341,4.27
SKU-1027,B0103699,TrailForge,TrailForge Decorative Vase,Home Decor,3.66,7.5,0.12,12.69,11.82,11.95,False,1,34486,1186,1,52,159.7,Standard,22556,157,103.62,25,317.25,0.66,0.007,0.3266,3.06
SKU-1028,B0103836,TrailForge,TrailForge Table Runner,Home Decor,20.77,3.52,0.1,60.93,59.74,54.38,True,4,107154,1273,1,440,20.3,Standard,72559,1251,688.05,51,3046.74,0.55,0.0172,0.2258,4.43
SKU-1029,B0103973,TrailForge,TrailForge Scented Candle Trio,Home Decor,25.59,3.54,0.08,72.49,72.49,62.25,True,7,235961,2730,13,255,74.9,Standard,98068,1251,1338.57,72,5219.28,1.07,0.0128,0.2565,3.9
SKU-1030,B0104110,PureCove,PureCove Sleeping Bag,Outdoor,23.43,6.64,0.15,83.36,83.36,98.5,True,5,76563,1469,1,79,130.2,Standard,5109,55,52.8,2,166.72,0.96,0.0108,0.3167,3.16
SKU-1031,B0104247,PureCove,PureCove Headlamp,Outdoor,20.76,6.96,0.12,62.89,62.89,61.12,True,10,141541,4456,11,426,73.2,Standard,10956,63,54.18,2,125.78,0.86,0.0058,0.4308,2.32
SKU-1032,B0104384,PureCove,PureCove Portable Stove,Outdoor,12.63,4.55,0.12,39.51,38.95,40.52,False,7,92733,605,0,193,21.9,Standard,31279,400,304.0,26,1027.26,0.76,0.0128,0.2959,3.38
SKU-1033,B0104521,PureCove,PureCove Sleeping Bag,Outdoor,22.89,6.75,0.12,57.73,57.73,52.2,True,3,108030,1576,5,189,58.4,Standard,108078,1160,533.6,55,3175.15,0.46,0.0107,0.1681,5.95
SKU-1034,B0104658,PureCove,PureCove Hammock,Outdoor,14.23,7.97,0.08,47.54,47.54,40.82,True,5,20239,1950,174,391,34.9,Oversize,32725,183,279.99,20,950.8,1.53,0.0056,0.2945,3.4
SKU-1035,B0104795,PureCove,PureCove Portable Stove,Outdoor,8.81,5.03,0.15,29.22,29.22,29.16,True,5,130931,410,246,82,35.0,Standard,68521,407,380.95,55,1607.1,0.78,0.0059,0.237,5.06
SKU-1036,B0104932,PureCove,PureCove Travel Pillow,Travel,3.07,5.67,0.12,10.2,9.24,9.51,False,2,124668,1306,4,293,31.2,Standard,13798,194,228.92,56,571.2,1.18,0.0141,0.4008,2.5
SKU-1037,B0105069,PureCove,PureCove Travel Pillow,Travel,3.92,4.38,0.12,13.73,13.73,14.38,True,8,46349,2101,1236,834,17.6,Standard,23955,111,67.71,18,247.14,0.61,0.0046,0.274,3.65
SKU-1038,B0105206,PureCove,PureCove Luggage Scale,Travel,12.74,6.44,0.12,49.84,48.27,49.47,False,9,195219,3984,56,418,66.7,Standard,69781,801,704.88,37,1844.08,0.88,0.0115,0.3822,2.62
SKU-1039,B0105343,PureCove,PureCove Travel Pillow,Travel,12.54,4.3,0.15,36.37,36.21,36.88,False,16,118956,2376,1,203,81.9,Standard,90830,781,777.88,188,6837.56,0.83,0.0086,0.1138,10.55
SKU-1040,B0105480,Brightway,Brightway Headlamp,Outdoor,18.52,4.99,0.08,59.8,59.8,49.22,True,4,62185,1963,24,543,25.3,Standard,18839,184,58.88,4,239.2,0.32,0.0098,0.2462,4.06
SKU-1041,B0105617,Brightway,Brightway Folding Chair,Outdoor,34.35,10.19,0.08,86.79,86.79,88.4,True,10,117399,5202,49,365,99.8,Oversize,23066,202,317.14,13,1128.27,1.57,0.0088,0.2811,3.56
SKU-1042,B0105754,Brightway,Brightway Insulated Water Bottle,Outdoor,21.34,6.56,0.15,79.11,79.11,87.2,True,6,773,1451,5,296,34.3,Standard,44795,461,401.07,18,1423.98,0.87,0.0103,0.2817,3.55
SKU-1043,B0105891,Brightway,Brightway Trekking Poles,Outdoor,12.9,3.85,0.1,43.0,43.0,44.93,True,8,66129,1516,342,657,16.2,Standard,5853,35,54.25,4,172.0,1.55,0.006,0.3154,3.17
SKU-1044,B0106028,Brightway,Brightway Hiking Backpack,Outdoor,23.92,10.71,0.15,79.93,79.93,82.65,True,0,111425,2218,506,163,95.3,Oversize,8625,116,192.56,8,639.44,1.66,0.0134,0.3011,3.32
SKU-1045,B0106165,Brightway,Brightway Trekking Poles,Outdoor,28.73,6.99,0.15,89.81,83.41,85.29,False,6,795357,829,310,65,89.3,Standard,29035,313,622.87,31,2784.11,1.99,0.0108,0.2237,4.47
SKU-1046,B0106302,Brightway,Brightway Dog Leash,Pet Supplies,9.62,3.66,0.15,33.46,33.46,33.36,True,10,34326,87,475,107,5.7,Standard,62626,884,919.36,101,3379.46,1.04,0.0141,0.272,3.68
