sku,asin,brand,product_name,category,objective,conflict,old_price,new_price,price_intent,price_change_pct,price_reason,ad_intent,bid_change_pct,ad_reason,changed,applied,requires_human_review,review_reason,confidence,manager_notes,rejected_reason,price_bucket,ad_bucket,decided_by,escalated,triage_reason
SKU-1000,B0100000,Aerovo,Aerovo Sleeping Bag,Outdoor,preserve_organic_rank,False,44.42,44.42,HOLD_PRICE,0.0,"While the inventory days are high and the Buy Box is lost, the current price is still above the lowest competitor price. Holding the price allows for maintaining margin while monitoring sales velocity and competitor actions. Additionally, the sales rank indicates potential for sales without drastic price cuts.",MAINTAIN_ADS,0.0,"The ACOS is relatively high at 22.96%, indicating that the advertising costs are taking a significant portion of sales. Lowering bids could help improve profitability while still maintaining visibility. The CTR is also low at 1.62%, suggesting that the current ads may not be performing optimally. Adjusting bids downwards could help refine targeting and improve overall performance.",False,False,False,,0.55,policy floor: LOWER_BIDS avg -12.5/12 runs -> MAINTAIN,,Outdoor|overstock|losing_box,Outdoor|mid_acos,rules,False,
SKU-1001,B0100137,Aerovo,Aerovo Trekking Poles,Outdoor,preserve_organic_rank,False,16.29,16.29,HOLD_PRICE,0.0,"While the inventory days are high, the current price is competitive with the lowest competitor price, and the product has a reasonable sales velocity. Holding the price may help maintain brand value and avoid further price erosion.",MAINTAIN_ADS,0.0,"The current ACOS of 0.1779 is relatively high, indicating that the advertising spend is not yielding optimal returns. Lowering bids could help improve profitability while still maintaining visibility. The CTR is low, suggesting that the ads may not be as effective, and a bid reduction could help optimize the ad spend.",False,False,False,,0.55,policy floor: LOWER_BIDS avg -12.5/12 runs -> MAINTAIN,,Outdoor|overstock|losing_box,Outdoor|mid_acos,rules,False,
SKU-1002,B0100274,Aerovo,Aerovo Folding Chair,Outdoor,maximize_profit,False,63.6,63.6,HOLD_PRICE,0.0,"While the baseline suggests holding the price, the current Buy Box status and the ability to raise the price slightly without losing competitiveness against the lowest competitor price justify a small increase. This can help improve margins while still maintaining a competitive edge.",MAINTAIN_ADS,0.0,"The current ACOS of 15.99% is above the target threshold for profitability, indicating that the ads are not performing efficiently. Lowering bids can help reduce costs while maintaining visibility. The CTR is relatively low, suggesting that the current bids may not be attracting enough clicks. Adjusting bids downwards could improve overall performance without completely pausing ads.",False,False,False,,0.65,policy floor: RAISE_PRICE_SLIGHTLY avg -2.8/9 runs -> HOLD; policy floor: LOWER_BIDS avg -12.5/12 runs -> MAINTAIN,,Outdoor|overstock|winning_box,Outdoor|mid_acos,rules,False,
SKU-1003,B0100411,Aerovo,Aerovo Camping Tent,Outdoor,preserve_organic_rank,False,75.88,75.88,HOLD_PRICE,0.0,"While the inventory days are high and the Buy Box is lost, the current price is still competitive compared to the lowest competitor price. Holding the price allows for maintaining brand value and potentially regaining the Buy Box without further discounting.",MAINTAIN_ADS,0.0,"The ACOS is relatively high at 18.54%, indicating that advertising costs are taking a significant portion of sales. Lowering bids could help improve profitability while still maintaining visibility. The CTR is low at 1.01%, suggesting that the current ads may not be as effective, and a bid reduction could help optimize spend.",False,False,False,,0.55,policy floor: LOWER_BIDS avg -12.5/12 runs -> MAINTAIN,,Outdoor|overstock|losing_box,Outdoor|mid_acos,rules,False,
SKU-1004,B0100548,Aerovo,Aerovo Cooler Bag,Outdoor,maximize_profit,False,17.61,17.61,HOLD_PRICE,0.0,"While the baseline suggests holding the price, raising it slightly to 17.96 is justified given the current Buy Box status and the significant margin over the lowest competitor price. This option also allows for a competitive edge while maintaining sales velocity.",MAINTAIN_ADS,0.0,"The ACOS is above the acceptable threshold of 35%, indicating that the current advertising strategy is not yielding a profitable return. Lowering bids is a prudent approach to improve profitability while still maintaining visibility.",False,False,False,,0.65,policy floor: RAISE_PRICE_SLIGHTLY avg -5.0/5 runs -> HOLD; policy floor: LOWER_BIDS avg -41.7/6 runs -> MAINTAIN,,Outdoor|healthy|winning_box,Outdoor|high_acos,rules,False,
SKU-1005,B0100685,Aerovo,Aerovo Headlamp,Outdoor,preserve_organic_rank,False,19.29,19.29,HOLD_PRICE,0.0,The current price is below the Buy Box price and the lowest competitor price. Raising the price slightly can help improve margins while remaining competitive. The sales velocity supports a slight increase without risking significant loss of sales.,MAINTAIN_ADS,0.0,"The ACOS is relatively high at 33.88%, indicating that advertising costs are taking a significant portion of sales. Lowering bids could help improve profitability while still maintaining visibility. The CTR is also low at 1.66%, suggesting that the current bids may not be effectively converting impressions into clicks. Therefore, a bid reduction is justified to optimize performance.",False,False,False,,0.95,rank protection: held price instead of raising while losing the buy box; policy floor: LOWER_BIDS avg -12.5/12 runs -> MAINTAIN,,Outdoor|healthy|losing_box,Outdoor|mid_acos,rules,False,
SKU-1006,B0100822,Aerovo,Aerovo Utensil Organizer,Kitchen,preserve_organic_rank,True,12.99,12.99,HOLD_PRICE,0.0,Overstocked (358.3 days) and losing Buy Box; drop to $12.67 (lowest competitor - $0.01) to liquidate excess FBA inventory.,MAINTAIN_ADS,0.0,"The ACOS is relatively high at 29.97%, indicating that advertising costs are taking a significant portion of sales. Lowering bids could help improve profitability while still maintaining visibility. The CTR is low, suggesting that the current ads may not be effective enough to justify the spend, and a bid reduction could optimize the campaign.",False,False,False,,1.0,"Holding the price at $12.99 allows us to maintain our organic rank and leverage the historical average reward of 74.39 from this price point. Additionally, maintaining ads with a high average reward of 277.57 suggests that the current advertising strategy is effective, and we should not disrupt it while focusing on preserving our rank.","The DROP_PRICE option conflicts with the objective of preserving organic rank and has not been tried before, which adds uncertainty. Lowering bids may not be effective given the high ACOS, and the average reward from lowering bids is negative, indicating potential losses.",Kitchen|overstock|losing_box,Kitchen|mid_acos,llm,True,agents conflict; uncertain (cold policy)
SKU-1007,B0100959,Aerovo,Aerovo Spice Rack,Kitchen,maximize_profit,False,89.46,88.62,DROP_PRICE,0.0094,"The current price is above the lowest competitor price, and dropping the price slightly can help maintain competitiveness and potentially increase sales velocity given the available inventory and days of supply.",INCREASE_BIDS,0.2,"Unicorn: ACOS 9.38% (< 15%) with 28 orders; highly profitable, scale up.",True,True,False,,0.85,"Dropping the price to 88.62 makes the product more competitive against the lowest competitor price, which can help increase sales velocity. Coupled with increasing bids on ads, this strategy aims to capitalize on the current low ACOS and maximize profit by driving more traffic to the listing.","HOLD_PRICE has a negative average reward and does not align with the goal of maximizing profit. RAISING_PRICE options have shown negative rewards in the past, indicating they are not effective in this context. MAINTAIN_ADS has also shown a negative average reward, and LOWER_BIDS and PAUSE_ADS have not been tried, making them less reliable choices.",Kitchen|healthy|winning_box,Kitchen|low_acos,llm,True,uncertain (cold policy)
SKU-1008,B0101096,Aerovo,Aerovo Cutting Board,Kitchen,avoid_stockout,False,84.07,84.07,HOLD_PRICE,0.0,"While the rule suggests raising the price significantly to prevent stockout, the current market conditions indicate that a slight increase is more appropriate given the competitor pricing and the need to remain competitive. The Buy Box status and the lowest competitor price suggest that a moderate increase will help maintain sales without risking losing the Buy Box.",MAINTAIN_ADS,0.0,"The ACOS is significantly above the target threshold of 35%, indicating that the current advertising strategy is not sustainable. Lowering bids is a prudent approach to improve profitability.",False,False,False,,0.7,Raising the price slightly helps to maintain competitiveness while addressing the stockout risk. The advertising strategy of lowering bids is necessary to improve profitability given the high ACOS. Both actions align with the objective of avoiding stockout while optimizing profit.; policy floor: RAISE_PRICE_SLIGHTLY avg -50.0/3 runs -> HOLD; policy floor: LOWER_BIDS avg -58.3/3 runs -> MAINTAIN,"HOLD_PRICE has a negative average reward and has been tried multiple times without success. RAISE_PRICE has a significantly worse average reward and has also been tried with poor results. MAINTAIN_ADS has consistently resulted in negative rewards, and increasing bids has not been tested yet, making it a risky choice.",Kitchen|critical|losing_box,Kitchen|high_acos,llm,True,high economic exposure
SKU-1009,B0101233,Aerovo,Aerovo Knife Set,Kitchen,preserve_organic_rank,True,63.86,63.86,HOLD_PRICE,0.0,"The current price is below the Buy Box price and significantly lower than the lowest competitor price. Raising the price slightly can help improve margins while remaining competitive. The days of supply are adequate, and the sales velocity supports a price increase.",INCREASE_BIDS,0.2,"The current ACOS of 9.20% is well below the 15% threshold, indicating strong profitability. The number of orders (288) supports scaling up the advertising efforts to capture more market share. The baseline recommendation to increase bids aligns with the performance metrics.",True,True,False,,0.7,"Raising the price slightly aligns with the pricing agent's recommendation to improve margins while remaining competitive, as the current price is below the Buy Box price. Additionally, increasing bids is supported by the advertising agent's recommendation, which indicates strong profitability and the potential to capture more market share. This combination aims to balance profitability with maintaining organic rank.; policy floor: RAISE_PRICE_SLIGHTLY avg -156.9/3 runs -> HOLD","The alternative price options either hold the price, which has shown negative rewards, or drop the price, which is not competitive. The ad options to maintain or lower bids do not leverage the current strong ACOS and order volume.",Kitchen|healthy|losing_box,Kitchen|low_acos,llm,True,agents conflict
SKU-1010,B0101370,Nimbus Home,Nimbus Home Earbud Case,Electronics Accessories,preserve_organic_rank,False,78.41,78.41,HOLD_PRICE,0.0,"While the rule suggests dropping the price due to overstock and losing the Buy Box, the current price is already competitive and raising it slightly could help improve margins without significantly impacting sales velocity. The lowest competitor price is only slightly higher, and a small increase may still attract buyers while positioning the product better in the market.",MAINTAIN_ADS,0.0,"The ACOS is above the target threshold of 35%, indicating that the current advertising strategy is not profitable. Lowering bids is a prudent approach to improve profitability while still maintaining some level of ad visibility.",False,False,False,,1.0,"Holding the price at 78.41 maintains competitiveness without risking a drop in organic rank. The average reward for holding the price is positive, and it has been tried successfully before. Maintaining ads is also a good strategy as it has shown a positive average reward and keeps visibility high.","Raising the price slightly has not been tried before and has an uncertain reward. Lowering bids has a negative average reward, indicating it may not be a sustainable strategy. Other options either have negative rewards or have not been tested enough.",Electronics Accessories|overstock|losing_box,Electronics Accessories|high_acos,llm,True,uncertain (cold policy)
SKU-1011,B0101507,Nimbus Home,Nimbus Home Power Bank,Electronics Accessories,preserve_organic_rank,True,19.29,18.91,DROP_PRICE,0.0197,"The current price is above the Buy Box price and the lowest competitor price, which may hinder sales. Dropping the price slightly below the lowest competitor price can help regain competitiveness and potentially increase sales velocity.",MAINTAIN_ADS,0.0,Bleeding margin: ACOS 37.25% > 35%; lower bids.,True,True,False,,1.0,"Dropping the price to 18.91 is supported by historical data showing a positive average reward of 160.41, indicating that this action has been successful in the past. Maintaining ads is also beneficial as it has a high average reward of 310.7, which suggests that keeping the current advertising strategy will help preserve organic rank while the price drop may increase sales velocity.","I did not choose to hold the price or raise it because both options have negative average rewards, indicating they are likely to hinder performance. Lowering bids was rejected due to its negative average reward, which suggests it may not be effective in this context.",Electronics Accessories|healthy|losing_box,Electronics Accessories|high_acos,llm,True,agents conflict
SKU-1012,B0101644,Nimbus Home,Nimbus Home Monitor Light Bar,Electronics Accessories,preserve_organic_rank,True,31.99,32.77,DROP_PRICE,0.0244,"The current price is above the Buy Box price and the lowest competitor price, which may hinder sales velocity. Dropping the price slightly can help regain competitiveness and potentially increase sales.",MAINTAIN_ADS,0.0,"While the current ACOS is within a reasonable range, the CTR is low, indicating that the ads are not effectively converting impressions into clicks. Lowering bids may help improve the overall performance by reducing spend while maintaining visibility. This approach aligns with optimizing for better engagement.",True,True,False,,1.0,"Choosing to drop the price to 32.77 aligns with the pricing agent's recommendation, which is supported by positive historical reward data. This action can help regain competitiveness in the market. Lowering bids on ads is also a strategic move to improve engagement without overspending, as indicated by the advertising agent's recommendation. Both actions aim to enhance sales velocity while preserving organic rank.; policy floor: LOWER_BIDS avg -25.0/4 runs -> MAINTAIN","HOLD_PRICE and MAINTAIN_ADS were rejected due to their negative average rewards, indicating they are unlikely to improve performance. RAISE_PRICE options were not chosen as they do not align with the goal of maintaining competitiveness. The conflict between the pricing and advertising recommendations was resolved by selecting the most beneficial options based on historical performance.",Electronics Accessories|healthy|losing_box,Electronics Accessories|mid_acos,llm,True,agents conflict
SKU-1013,B0101781,Nimbus Home,Nimbus Home Monitor Light Bar,Electronics Accessories,preserve_organic_rank,False,84.25,85.94,RAISE_PRICE_SLIGHTLY,0.0201,"While the inventory days are high, the current price is significantly below the lowest competitor price. Raising the price slightly to $85.94 allows for better margin while still being competitive. This option also positions us closer to the Buy Box price, which could help regain Buy Box status.",MAINTAIN_ADS,0.0,"The current ACOS of 0.1816 is relatively high, indicating that advertising costs are significant compared to sales. Additionally, the CTR is low at 0.0095, suggesting that the ads are not performing optimally. Lowering bids could help improve the overall efficiency of the ad spend and potentially increase the CTR by making the ads more competitive. This option is more proactive than maintaining the current strategy.",True,True,False,,0.85,"Raising the price slightly to $85.94 positions us closer to the Buy Box price, which could help regain Buy Box status while still being competitive against the lowest competitor price. Lowering bids is a proactive approach to improve ad efficiency given the high ACOS and low CTR, which aligns with the objective of preserving organic rank by optimizing ad spend.; policy floor: LOWER_BIDS avg -25.0/4 runs -> MAINTAIN","Holding the price does not capitalize on the opportunity to improve margins, and dropping the price has historically resulted in significant losses. Maintaining ads has consistently resulted in negative rewards, and increasing bids has not been tested yet, making it a riskier option.",Electronics Accessories|overstock|losing_box,Electronics Accessories|mid_acos,llm,True,uncertain (cold policy)
SKU-1014,B0101918,Nimbus Home,Nimbus Home Wireless Charger Pad,Electronics Accessories,preserve_organic_rank,True,31.77,33.57,DROP_PRICE,0.0567,"Given the current Buy Box price is lower than the lowest competitor price, a slight price increase is justified to improve competitiveness while still being attractive to buyers. The days of supply are sufficient, and the sales velocity indicates potential for higher pricing.",INCREASE_BIDS,0.2,"The current ACOS is 11.93%, which is below the 15% threshold, indicating a highly profitable campaign. The number of orders (142) supports scaling up the bids to capture more traffic and sales.",True,True,False,,1.0,"Choosing to drop the price to 33.57 is the best option as it has the highest average reward based on historical data, indicating a strong potential for profit. Coupled with increasing bids on ads, which has shown positive results in the past, this strategy aims to enhance visibility and sales while maintaining organic rank.","The other price options either have negative average rewards or have not been tried enough to justify their selection. The ad option to maintain ads has a negative average reward, and lowering bids has not been tested, making them less favorable.",Electronics Accessories|healthy|losing_box,Electronics Accessories|low_acos,llm,True,agents conflict; uncertain (cold policy)
SKU-1015,B0102055,Nimbus Home,Nimbus Home Wireless Charger Pad,Electronics Accessories,preserve_organic_rank,False,58.48,59.65,RAISE_PRICE_SLIGHTLY,0.02,"Given the current Buy Box price is lower than our price and we are not the Buy Box winner, a slight price increase could help us regain competitiveness while still being below the lowest competitor price. This option balances maintaining sales velocity with improving margins.",MAINTAIN_ADS,0.0,"The ACOS is significantly above the target threshold, indicating that the current advertising strategy is not sustainable. Lowering bids is a prudent approach to improve profitability.",True,True,False,,0.7,"Raising the price slightly helps regain competitiveness while still being below the lowest competitor price, which is crucial for preserving organic rank. Lowering bids addresses the high ACOS, improving profitability without sacrificing visibility.; policy floor: LOWER_BIDS avg -50.0/4 runs -> MAINTAIN","HOLD_PRICE has a negative average reward and does not align with the goal of improving competitiveness. DROP_PRICE, while having a high average reward, would conflict with the objective of preserving organic rank. MAINTAIN_ADS does not address the high ACOS issue.",Electronics Accessories|healthy|losing_box,Electronics Accessories|high_acos,llm,True,uncertain (cold policy)
SKU-1016,B0102192,Nimbus Home,Nimbus Home Ab Roller Wheel,Fitness,maximize_profit,False,27.34,27.34,HOLD_PRICE,0.0,"The current price is below the lowest competitor price, and raising it slightly can help improve margins while still remaining competitive. The Buy Box status is secure, and the sales velocity supports a price increase.",MAINTAIN_ADS,0.0,"While the baseline suggests maintaining ads, the ACOS is relatively high at 20.48%, indicating that the current ad spend may not be yielding optimal returns. Lowering bids could help improve profitability without completely pausing ads, as there is still a healthy number of impressions and orders.",False,False,False,,0.65,policy floor: RAISE_PRICE_SLIGHTLY avg -7.1/7 runs -> HOLD; policy floor: LOWER_BIDS avg -14.3/7 runs -> MAINTAIN,,Fitness|overstock|winning_box,Fitness|mid_acos,rules,False,
SKU-1017,B0102329,Nimbus Home,Nimbus Home Resistance Bands Set,Fitness,preserve_organic_rank,False,38.08,38.08,HOLD_PRICE,0.0,No rule triggered; hold price.,MAINTAIN_ADS,0.0,"The ACOS is above the acceptable threshold of 35%, indicating that the current advertising strategy is not yielding a profitable return. Lowering bids is a prudent approach to manage costs and improve profitability.",False,False,False,,0.5,policy floor: LOWER_BIDS avg -50.0/10 runs -> MAINTAIN,,Fitness|healthy|losing_box,Fitness|high_acos,rules,False,
SKU-1018,B0102466,Nimbus Home,Nimbus Home Ab Roller Wheel,Fitness,preserve_organic_rank,True,91.18,91.18,HOLD_PRICE,0.0,"The current price is above the Buy Box price and the lowest competitor price, which may hinder sales velocity. Dropping the price slightly can help regain competitiveness and potentially increase sales without significantly impacting margins.",MAINTAIN_ADS,0.0,"The ACOS is significantly above the target threshold of 35%, indicating that the current advertising strategy is not sustainable. Lowering bids is a prudent approach to improve profitability while still maintaining visibility.",False,False,False,,0.8,"Holding the price at 91.18 allows us to maintain our current organic rank while avoiding the negative historical performance associated with dropping the price. Lowering bids is a necessary step to improve profitability given the high ACOS, and it aligns with the objective of preserving organic rank by not aggressively competing on price.; policy floor: LOWER_BIDS avg -50.0/10 runs -> MAINTAIN",The DROP_PRICE option has a negative average reward and has been tried multiple times with poor results. Raising the price options do not align with the objective of preserving organic rank and could further jeopardize our competitive position.,Fitness|healthy|losing_box,Fitness|high_acos,llm,True,agents conflict
SKU-1019,B0102603,Nimbus Home,Nimbus Home Yoga Mat,Fitness,preserve_organic_rank,False,48.28,48.28,HOLD_PRICE,0.0,"While the inventory days are high, the current price is still competitive compared to the Buy Box price and the lowest competitor price. Holding the price allows for maintaining brand value and potentially regaining the Buy Box without further discounting.",MAINTAIN_ADS,0.0,"The current ACOS of 15.5% is relatively high, indicating that the advertising spend is not yielding optimal returns. Lowering bids could help improve profitability while still maintaining visibility. The CTR is low, suggesting that the ads may not be resonating well with the audience, and a bid adjustment could help refine targeting.",False,False,False,,0.55,policy floor: LOWER_BIDS avg -14.3/7 runs -> MAINTAIN,,Fitness|overstock|losing_box,Fitness|mid_acos,rules,False,
SKU-1020,B0102740,TrailForge,TrailForge Exercise Ball,Fitness,preserve_organic_rank,True,64.18,64.18,HOLD_PRICE,0.0,The product is overstocked with 110.5 days of supply and is currently not winning the Buy Box. Dropping the price to $57.73 aligns with the strategy to liquidate excess inventory and is competitive against the lowest competitor price.,MAINTAIN_ADS,0.0,"The ACOS is significantly above the target threshold of 35%, indicating that the current advertising strategy is not sustainable. Lowering bids is a prudent approach to improve profitability while still maintaining visibility.",False,False,False,,0.65,"Holding the price at $64.18 allows us to maintain our organic rank while avoiding the negative average reward associated with dropping the price. Lowering bids will help improve profitability given the high ACOS, aligning with the objective of preserving organic rank without risking stockouts.; policy floor: LOWER_BIDS avg -50.0/10 runs -> MAINTAIN","The DROP_PRICE option has a significantly negative average reward, and raising the price options do not align with the current objective of preserving organic rank. Maintaining ads has also shown a negative average reward, making LOWER_BIDS the better choice.",Fitness|overstock|losing_box,Fitness|high_acos,llm,True,agents conflict
SKU-1021,B0102877,TrailForge,TrailForge Adjustable Dumbbells,Fitness,maximize_profit,False,62.7,62.7,HOLD_PRICE,0.0,"While the baseline suggests holding the price, the current Buy Box status and the ability to raise the price slightly without losing competitiveness justify a small increase. The lowest competitor price is 60.17, and raising to 63.95 still keeps us competitive while potentially increasing margins.",MAINTAIN_ADS,0.0,"The ACOS is significantly above the target threshold of 35%, indicating that the current advertising strategy is not sustainable. Lowering bids is a prudent approach to improve profitability while still maintaining visibility.",False,False,False,,0.65,policy floor: RAISE_PRICE_SLIGHTLY avg -7.1/7 runs -> HOLD; policy floor: LOWER_BIDS avg -50.0/10 runs -> MAINTAIN,,Fitness|overstock|winning_box,Fitness|high_acos,rules,False,
SKU-1022,B0103014,TrailForge,TrailForge Exercise Ball,Fitness,preserve_organic_rank,False,50.53,50.53,HOLD_PRICE,0.0,"While the inventory days are high, the current price is still significantly lower than the lowest competitor price. Holding the price allows for maintaining a competitive edge without further reducing margins, especially since the Buy Box is not won. Additionally, the sales velocity indicates some demand, and the current price is still above the COGS and FBA fees.",MAINTAIN_ADS,0.0,Bleeding margin: ACOS 43.78% > 35%; lower bids.,False,False,False,,0.55,policy floor: LOWER_BIDS avg -50.0/10 runs -> MAINTAIN,,Fitness|overstock|losing_box,Fitness|high_acos,rules,False,
